feature,mean_abs_shap
age_years,0.5478168927778373
cosmic_radiation,0.504831822707834
low_voltage_risk,0.42657891842290874
radiation_age_interaction,0.31358749310391926
thermal_stress,0.2178274109875938
data_rate_mbps,0.14246130051210448
thruster_fuel_kg,0.14026329702732207
orientation_magnitude,0.13734057577305864
fuel_reserve_risk,0.1365629495903188
orientation_z,0.10315445223202317
battery_voltage,0.09961441615508804
orientation_y,0.09709328447660398
orientation_x,0.062785604757711
temperature_c,0.03443387618526519
solar_flux,0.0011834459782592928
