model,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,confusion_matrix
Logistic Regression,0.6424999999999998,0.5036561931012974,0.6098003629764065,0.549101072187841,0.6858117200680071,0.635,0.4935064935064935,0.5277777777777778,0.5100671140939598,0.6387803819444444,"[[89, 39], [34, 38]]"
Random Forest,0.63875,0.5002215308385907,0.44271022383545067,0.46201424329778806,0.659426071628588,0.595,0.41818181818181815,0.3194444444444444,0.36220472440944884,0.6067708333333334,"[[96, 32], [49, 23]]"
Gradient Boosting,0.6475,0.5215770194717564,0.30350877192982456,0.37800004293442485,0.6414107503343522,0.58,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.5553385416666666,"[[104, 24], [60, 12]]"
